Date,Prévision,IC_Inférieur_95%,IC_Supérieur_95%
2021-04-26 19:00:00,1.196103345103504,0.07806592357967235,2.3141407666273355
2021-04-27 19:00:00,1.2077419316644002,-0.07886108965090988,2.49434495297971
2021-04-28 19:00:00,1.201700938613914,-0.1660626269086647,2.5694645041364925
2021-04-29 19:00:00,1.1689192140906122,-0.3111856932659358,2.64902412144716
2021-04-30 19:00:00,1.1279262977165638,-0.4362592144656541,2.6921118098987815
2021-05-01 19:00:00,1.1298699609150393,-0.5252455051281384,2.784985426958217
2021-05-02 19:00:00,1.1965926889373835,-0.538403775245748,2.931589153120515
2021-05-03 19:00:00,1.1591401878104728,-0.6557461097976636,2.974026485418609
2021-05-04 19:00:00,1.1677877875360254,-0.7216169090142452,3.057192484086296
2021-05-05 19:00:00,1.1948647512117017,-0.7673594110589392,3.1570889134823426
2021-05-06 19:00:00,1.207076153992117,-0.8247170613732999,3.238869369357534
2021-05-07 19:00:00,1.2373946699651759,-0.8620289623777437,3.3368183023080955
2021-05-08 19:00:00,1.246392303962812,-0.9183412846794652,3.411125892605089
2021-05-09 19:00:00,1.2325869344289462,-0.9956623829741185,3.460836251832011
2021-05-10 19:00:00,1.2138930562577879,-1.0760427000878865,3.5038288126034622
2021-05-11 19:00:00,1.2010131005074576,-1.1490295531932473,3.5510557542081624
2021-05-12 19:00:00,1.1881147718060445,-1.2205128377085832,3.5967423813206723
2021-05-13 19:00:00,1.1708900154910284,-1.294943941717654,3.636723972699711
2021-05-14 19:00:00,1.1411302863644468,-1.3806051878305436,3.6628657605594372
2021-05-15 19:00:00,1.137845333793388,-1.438583304063306,3.714273971650082
2021-05-16 19:00:00,1.1845949479590439,-1.4453872369510834,3.814577132869171
2021-05-17 19:00:00,1.205681517335642,-1.4767866897097348,3.888149724381019
2021-05-18 19:00:00,1.1989640685068745,-1.5349819052031566,3.9329100422169057
2021-05-19 19:00:00,1.2575052114739718,-1.5269674728765108,4.041977895824454
2021-05-20 19:00:00,1.2373732954489194,-1.659650524587735,4.134397115485574
2021-05-21 19:00:00,1.2462700386458612,-1.7301114316754354,4.222651508967157
2021-05-22 19:00:00,1.2418419062762407,-1.802739112891413,4.286422925443894
2021-05-23 19:00:00,1.2081114333269412,-1.908345890985264,4.324568757639146
2021-05-24 19:00:00,1.1676766082911665,-2.016039302234894,4.351392518817227
2021-05-25 19:00:00,1.1692919800971922,-2.0820104394723,4.420594399666684
2021-05-26 19:00:00,1.2362078220974202,-2.0803105163778697,4.5527261605727105
2021-05-27 19:00:00,1.1986417236928713,-2.182407386056394,4.579690833442136
2021-05-28 19:00:00,1.2073561458288378,-2.236683934312519,4.651396225970195
2021-05-29 19:00:00,1.234393801920509,-2.2716968471223162,4.740484450963335
2021-05-30 19:00:00,1.2466283269760825,-2.3203230847020335,4.813579738654198
2021-05-31 19:00:00,1.2769332415126238,-2.3499217379145763,4.903788220939823
2021-06-01 19:00:00,1.2859388764130286,-2.3998091854339147,4.971686938259972
2021-06-02 19:00:00,1.2721288004317937,-2.4716074415672016,5.015865042430789
2021-06-03 19:00:00,1.2534376907790743,-2.5473897038722626,5.054265085430411
2021-06-04 19:00:00,1.2405561064767299,-2.616524689965051,5.097636902918511
2021-06-05 19:00:00,1.2276587357540052,-2.684862571314927,5.140180042822937
2021-06-06 19:00:00,1.210433415918045,-2.756756131962149,5.177622963798239
2021-06-07 19:00:00,1.1806740182767648,-2.8404392021926137,5.201787238746143
2021-06-08 19:00:00,1.177388870712945,-2.896935221252299,5.251712962678189
2021-06-09 19:00:00,1.2241385995810532,-2.9027098551377764,5.350987054299883
2021-06-10 19:00:00,1.2452251014851337,-2.9334878381240985,5.423938041094366
2021-06-11 19:00:00,1.2385076923463685,-2.991433695097404,5.46844907979014
2021-06-12 19:00:00,1.2970488119662371,-2.9835080732034283,5.577605697135903
2021-06-13 19:00:00,1.2769169096749478,-3.1030663104906155,5.656900129840511
2021-06-14 19:00:00,1.2858136447931465,-3.16861935423703,5.740246643823323
2021-06-15 19:00:00,1.2813855171757624,-3.2389538426184816,5.801724876970006
2021-06-16 19:00:00,1.2476550414310101,-3.341843147394848,5.8371532302568685
2021-06-17 19:00:00,1.2072202180396308,-3.447960397975001,5.862400834054263
2021-06-18 19:00:00,1.2088355888783573,-3.5125294604503354,5.93020063820705
2021-06-19 19:00:00,1.2757514314475888,-3.5100596627396903,6.0615625256348675
2021-06-20 19:00:00,1.2381853327083303,-3.6116927911818117,6.088063456598473
2021-06-21 19:00:00,1.2468997550411864,-3.6659326350245256,6.159732145106899
2021-06-22 19:00:00,1.2739374110170392,-3.701213743452402,6.24908856548648
2021-06-23 19:00:00,1.2861719361407418,-3.7504333628114384,6.322777235092921
2021-06-24 19:00:00,1.316476850637207,-3.7808961474085074,6.413849848682922
