Date,Prévision_SARIMA,IC_Inf_95,IC_Sup_95,Risque_Panne
2021-04-25 20:00:00,1.5243439074440779,0.147129292838037,2.6468723921501995,NON
2021-04-25 21:00:00,1.5867547005147622,0.01234301389843151,3.150771742735854,NON
2021-04-25 22:00:00,1.9353439937959063,-0.025391928287938237,3.4050795185958975,NON
2021-04-25 23:00:00,2.6995680648781084,0.3950071591063642,3.9938709626646274,NON
2021-04-26 00:00:00,2.547647533896664,0.616553311993471,4.309396096296066,NON
2021-04-26 01:00:00,2.6383365051036773,0.6525554667012945,4.407773631518294,NON
2021-04-26 02:00:00,3.196425892490421,0.7098795097830632,4.505061031987873,NON
2021-04-26 03:00:00,2.972368198069861,0.6713992575992016,4.496510823021087,NON
2021-04-26 04:00:00,2.615626431004942,0.6218888950902322,4.468928982055575,NON
2021-04-26 05:00:00,2.8324635594377163,0.579848790265606,4.445132801493442,NON
2021-04-26 06:00:00,2.574459126214265,0.5901307018178465,4.470399507928803,NON
2021-04-26 07:00:00,2.5206961257648786,0.5554663782567266,4.449206993422625,NON
2021-04-26 08:00:00,2.6469567038446424,0.5257602371898975,4.4315061966721405,NON
2021-04-26 09:00:00,2.065759580857407,0.5277097953282865,4.444787930644322,NON
2021-04-26 10:00:00,2.011304700886763,0.45908783797294817,4.3867902285284925,NON
2021-04-26 11:00:00,2.250180187073541,0.43556333825841653,4.373572306504844,NON
2021-04-26 12:00:00,2.095267152755214,0.43153873440609747,4.379494235777155,NON
2021-04-26 13:00:00,2.4087942837983665,0.43801664203333157,4.395760233307788,NON
2021-04-26 14:00:00,2.0600078614499844,0.43184948649337973,4.3991890476293385,NON
2021-04-26 15:00:00,1.9641176544297936,0.48900266181461727,4.465853269047836,NON
2021-04-26 16:00:00,2.761798603450676,0.5658404178432512,4.55209355795497,NON
2021-04-26 17:00:00,2.2048957845339556,0.4517604649644027,4.447365625193852,NON
2021-04-26 18:00:00,2.0099078540378894,0.18236008226267897,4.187251188939259,NON
2021-04-26 19:00:00,1.289118417224919,-0.1637402149152356,3.8504025104594017,NON
2021-04-26 20:00:00,1.5064357716103027,-0.1990578359038626,3.845353580834842,NON
2021-04-26 21:00:00,1.727946039438483,-0.17730686807835427,3.89100784860188,NON
2021-04-26 22:00:00,1.466905312320069,-0.15129686801241804,3.9361192054140455,NON
2021-04-26 23:00:00,2.337410122856608,0.2867176161138181,4.390692658828092,NON
2021-04-27 00:00:00,2.366654359624584,0.5218007260963384,4.640260785518268,NON
2021-04-27 01:00:00,2.514465284524293,0.5437700761398143,4.675599921798028,NON
2021-04-27 02:00:00,2.5357229798643677,0.5974308836595363,4.741659394694171,NON
2021-04-27 03:00:00,3.15820485371098,0.5448924776667794,4.700996497067248,NON
2021-04-27 04:00:00,2.667043746966256,0.4891422792996738,4.656639683215609,NON
2021-04-27 05:00:00,2.385626131379084,0.4370521611624887,4.615683606479529,NON
2021-04-27 06:00:00,2.905691159418885,0.44271592023555373,4.632229650370547,NON
2021-04-27 07:00:00,2.363522274544185,0.3992332385950408,4.599492532077663,NON
2021-04-27 08:00:00,2.714439508616957,0.36651139044645475,4.5773770709854045,NON
2021-04-27 09:00:00,2.1683804771432182,0.36787603562595894,4.589269689029831,NON
2021-04-27 10:00:00,2.2613657996854974,0.299169947267206,4.531008648865813,NON
2021-04-27 11:00:00,2.619039444923651,0.274535139480625,4.5167685388098935,NON
2021-04-27 12:00:00,2.7359815388808766,0.26913661859035365,4.521710324158812,NON
2021-04-27 13:00:00,2.573109043001406,0.2750161210677957,4.537893402821516,NON
2021-04-27 14:00:00,2.469688882967296,0.2741091413402219,4.5472502739724145,NON
2021-04-27 15:00:00,2.4485417016860724,0.3334595807086953,4.616834516138923,NON
2021-04-27 16:00:00,2.192021304577003,0.4140495499576895,4.707626221400096,NON
2021-04-27 17:00:00,2.2327766652731524,0.2960323760750927,4.59978408252662,NON
2021-04-27 18:00:00,1.9798593627930912,0.011024501882494153,4.324923268929483,NON
2021-04-27 19:00:00,2.037569252741321,-0.28916518705154304,4.034855687693998,NON
2021-04-27 20:00:00,1.796460286776675,-0.32619941271479447,4.018450523133942,NON
2021-04-27 21:00:00,1.258503555958593,-0.30766285085346623,4.054656104277431,NON
2021-04-27 22:00:00,1.8082454792272318,-0.2827922984131075,4.094864136170077,NON
2021-04-27 23:00:00,2.060572157751671,0.1540202124645047,4.545726047337749,NON
2021-04-28 00:00:00,2.2259033114049376,0.38877428596177266,4.793448989029054,NON
2021-04-28 01:00:00,2.5908708582040143,0.40962486011904353,4.826667583911286,NON
2021-04-28 02:00:00,2.7734039647917954,0.4628440765329258,4.891722985138596,NON
2021-04-28 03:00:00,2.723763842381293,0.40950415205638,4.8499231409896035,NON
2021-04-28 04:00:00,2.2493642410104697,0.3533417503089309,4.805025544208189,NON
2021-04-28 05:00:00,2.373365042810953,0.3006928162001845,4.763486775707011,NON
2021-04-28 06:00:00,2.5872008011547765,0.3060419755939723,4.779795541517657,NON
2021-04-28 07:00:00,2.7544842423124405,0.26206990290945864,4.746695776010589,NON
