Date,Prévision_SARIMA,Risque_Panne
2021-04-25 20:00:00,2.3093593264171153,NON
2021-04-25 21:00:00,2.0916364228989153,NON
2021-04-25 22:00:00,1.7839445453421419,NON
2021-04-25 23:00:00,2.329334095579293,NON
2021-04-26 00:00:00,2.114545289215693,NON
2021-04-26 01:00:00,2.2396833081265544,NON
2021-04-26 02:00:00,1.9741956141835189,NON
2021-04-26 03:00:00,2.2265347529976864,NON
2021-04-26 04:00:00,2.307683670966989,NON
2021-04-26 05:00:00,2.184291162393939,NON
2021-04-26 06:00:00,1.780391022460602,NON
2021-04-26 07:00:00,2.2625583828235483,NON
2021-04-26 08:00:00,2.294137891167757,NON
2021-04-26 09:00:00,2.215686784459504,NON
2021-04-26 10:00:00,1.854491363534081,NON
2021-04-26 11:00:00,2.0801230100301895,NON
2021-04-26 12:00:00,2.0008168368906945,NON
2021-04-26 13:00:00,2.0296135767208447,NON
2021-04-26 14:00:00,1.5331616340820227,NON
2021-04-26 15:00:00,2.0187713425597935,NON
2021-04-26 16:00:00,1.905044183670122,NON
2021-04-26 17:00:00,2.22508459323774,NON
2021-04-26 18:00:00,2.1825951873443357,NON
2021-04-26 19:00:00,1.655757063674169,NON
2021-04-26 20:00:00,2.216512732138493,NON
2021-04-26 21:00:00,1.9466276454062672,NON
2021-04-26 22:00:00,1.7006849018794876,NON
2021-04-26 23:00:00,2.2078513039927774,NON
2021-04-27 00:00:00,2.016443099277523,NON
2021-04-27 01:00:00,2.142368562993207,NON
