Date,Prévision,IC_Inférieur_95%,IC_Supérieur_95%,Risque_Panne
2021-04-26 19:00:00,1.5540861123632443,0.29373848285301696,2.8144337418734717,1
2021-04-26 20:00:00,1.7433365919534143,0.16555509808882163,3.321118085818007,1
2021-04-26 21:00:00,1.9065389431493482,0.16590933252370954,3.647168553774987,1
2021-04-26 22:00:00,2.0006747759087316,0.17031666682136692,3.8310328849960964,1
2021-04-26 23:00:00,2.0941060429922698,0.20792125184863486,3.9802908341359045,1
2021-04-27 00:00:00,2.137709422025998,0.2170736114359626,4.058345232616033,1
2021-04-27 01:00:00,2.1939024068917656,0.2489433106837351,4.138861503099796,1
2021-04-27 02:00:00,2.2107037165627976,0.24927789828005054,4.172129534845545,1
2021-04-27 03:00:00,2.2469776457961923,0.27241815936465263,4.221537132227732,1
2021-04-27 04:00:00,2.249607520435985,0.265355805044436,4.233859235827534,1
2021-04-27 05:00:00,2.275183154145894,0.2823127933553389,4.268053514936449,1
2021-04-27 06:00:00,2.2703636642622085,0.27066043444422627,4.270066894080191,1
2021-04-27 07:00:00,2.290150789723406,0.2838443507548476,4.296457228691964,1
2021-04-27 08:00:00,2.2814587982915757,0.26963873773413116,4.29327885884902,1
2021-04-27 09:00:00,2.298072377481004,0.28062029326181515,4.315524461700193,1
2021-04-27 10:00:00,2.2874105211271987,0.2650943943278117,4.309726647926586,1
2021-04-27 11:00:00,2.302243920628395,0.2747911067567621,4.329696734500028,1
2021-04-27 12:00:00,2.290623637590505,0.2586421620515571,4.322605113129453,1
2021-04-27 13:00:00,2.304419927417898,0.26756652660599345,4.341273328229802,1
2021-04-27 14:00:00,2.292378276322681,0.2511764121824167,4.333580140462946,1
2021-04-27 15:00:00,2.305534342299576,0.2596090958011956,4.351459588797956,1
2021-04-27 16:00:00,2.29335588157412,0.2431832496150892,4.343528513533151,1
2021-04-27 17:00:00,2.3060843098212818,0.25127683087330643,4.360891788769257,1
2021-04-27 18:00:00,2.293919207572696,0.2349243105890899,4.3529141045563025,1
2021-04-27 19:00:00,2.3063344586704533,0.2427617938487696,4.369907123492137,1
2021-04-27 20:00:00,2.294261364285276,0.22653963914719855,4.361983089423353,1
2021-04-27 21:00:00,2.306425645538085,0.23416655752256244,4.378684733553608,1
2021-04-27 22:00:00,2.2944851570110276,0.21810391298705634,4.3708664010349985,1
2021-04-27 23:00:00,2.3064328413228603,0.22554570173614108,4.387319980909579,1
2021-04-28 00:00:00,2.2946453201970747,0.20965680968121259,4.379633830712937,1
2021-04-28 01:00:00,2.3063959449389335,0.216928142749357,4.3958637471285105,1
2021-04-28 02:00:00,2.294770999218249,0.2012193067686434,4.388322691667854,1
2021-04-28 03:00:00,2.306336186027205,0.20832909609777284,4.404343275956638,1
2021-04-28 04:00:00,2.2948777178125193,0.1928024034375957,4.396953032187443,1
2021-04-28 05:00:00,2.306264856395123,0.19975647081737202,4.412773241972873,1
2021-04-28 06:00:00,2.2949737485522737,0.1844117793209854,4.405535717783562,1
2021-04-28 07:00:00,2.3061879579083735,0.19121428296850107,4.421161632848246,1
2021-04-28 08:00:00,2.295063503956457,0.17605028076457652,4.414076727148338,1
2021-04-28 09:00:00,2.3061086766405645,0.18270447668397027,4.429512876597158,1
2021-04-28 10:00:00,2.295149341639191,0.16771924698706275,4.422579436291319,1
2021-04-28 11:00:00,2.3060286999031394,0.17422789526812643,4.437829504538152,1
2021-04-28 12:00:00,2.2952325252230388,0.15941921721081664,4.431045833235261,1
2021-04-28 13:00:00,2.305948917320806,0.16578479889954068,4.446113035742071,1
2021-04-28 14:00:00,2.2953137358514146,0.15115030761429482,4.439477164088535,1
2021-04-28 15:00:00,2.3058697940239594,0.1573751405468089,4.45436444750111,1
2021-04-28 16:00:00,2.2953933444772545,0.14291241221422046,4.447874276740288,1
2021-04-28 17:00:00,2.3057915693034388,0.14899871296725653,4.462584425639621,1
2021-04-28 18:00:00,2.2954715568088013,0.134705309870375,4.456237803747228,1
2021-04-28 19:00:00,2.3057143623559466,0.1406552269771364,4.470773497734757,1
2021-04-28 20:00:00,2.2955484904685726,0.12652872124199988,4.464568259695145,1
2021-04-28 21:00:00,2.305638228572277,0.1323443530848034,4.478932104059751,1
2021-04-28 22:00:00,2.2956242160682327,0.11838233906487527,4.47286609307159,1
2021-04-28 23:00:00,2.305563189498673,0.12406574359600109,4.487060635401345,1
2021-04-29 00:00:00,2.2956987790752588,0.11026584420827135,4.481131713942246,1
2021-04-29 01:00:00,2.3054892487839624,0.11581904431219758,4.495159453255727,1
2021-04-29 02:00:00,2.2957722114547217,0.10217891415400748,4.489365508755435,1
2021-04-29 03:00:00,2.3054164006667213,0.10760390068417891,4.503228900649264,1
2021-04-29 04:00:00,2.295844537868163,0.09412122743858342,4.497567848297743,1
2021-04-29 05:00:00,2.305344634491385,0.0994199610126918,4.511269307970078,1
2021-04-29 06:00:00,2.295915778975098,0.08609246594593944,4.505739092004257,1
