Date,Prévision_ARIMA,IC_Inf_95,IC_Sup_95,Risque_Panne
2021-04-25 20:00:00,1.712049078160565,0.29257936008602314,2.813161133860208,NON
2021-04-25 21:00:00,1.699361901397731,0.16562327757204653,3.321717890852943,NON
2021-04-25 22:00:00,2.1131703428701507,0.16480313566750526,3.646416282263684,NON
2021-04-25 23:00:00,2.489238499760303,0.1705030399444012,3.8318225415547578,NON
2021-04-26 00:00:00,2.0182967904737463,0.20690132804901729,3.979767543812179,NON
2021-04-26 01:00:00,2.0632285929822345,0.21730821577872894,4.059213738499736,NON
2021-04-26 02:00:00,2.699303430376073,0.24798077095434956,4.138465479334888,NON
2021-04-26 03:00:00,2.457208546578444,0.24952000326690027,4.173027218823703,NON
2021-04-26 04:00:00,2.0959081135592488,0.2714934100167814,4.221221769034262,NON
2021-04-26 05:00:00,2.424044174421246,0.26558433251841485,4.234762470956545,NON
2021-04-26 06:00:00,2.1260969326615884,0.2814150168856677,4.267795900382892,NON
2021-04-26 07:00:00,2.121665214071818,0.2708650055599482,4.270964337394581,NON
2021-04-26 08:00:00,2.367146865484739,0.2829677741958174,4.296245730668364,NON
2021-04-26 09:00:00,1.6688530547162346,0.26981446570938017,4.294165190520047,NON
2021-04-26 10:00:00,1.7447839206446467,0.2797617695084327,4.315353005804318,NON
2021-04-26 11:00:00,2.1077266265128323,0.2652391487501746,4.310599533815818,NON
2021-04-26 12:00:00,1.977179854237198,0.2739488137546573,4.3295620129141215,NON
2021-04-26 13:00:00,2.391814286192701,0.2587551816566336,4.323463695421946,NON
2021-04-26 14:00:00,2.0129676478549676,0.2667393052126723,4.341173412140258,NON
2021-04-26 15:00:00,1.8402489462917544,0.25125761075909114,4.334424283920596,NON
2021-04-26 16:00:00,2.7747818338875296,0.2587961193142112,4.351393236076472,NON
2021-04-26 17:00:00,2.2214425528119617,0.24323287051786613,4.344358430423428,NON
2021-04-26 18:00:00,2.327308105464749,0.2504774413554469,4.36085809947739,NON
2021-04-26 19:00:00,1.8377564561885675,0.2349427552215433,4.353730169380039,NON
2021-04-26 20:00:00,2.131485519692957,0.24197542136048433,4.369905369371284,NON
2021-04-26 21:00:00,2.3302032232664285,0.22652738202362332,4.3627857482618015,NON
2021-04-26 22:00:00,1.9372018726869518,0.2333926803655939,4.378714274178595,NON
2021-04-26 23:00:00,2.41525635255168,0.21806145981463398,4.371656127705867,NON
2021-04-27 00:00:00,2.113599157079946,0.22478382692117282,4.387380222753303,NON
2021-04-27 01:00:00,2.2015206471732798,0.2095846767800067,4.380411105878578,NON
2021-04-27 02:00:00,2.1132408620242455,0.2161777964025995,4.395954123726652,NON
2021-04-27 03:00:00,2.8886908325249676,0.20111801104628757,4.389087993085944,NON
2021-04-27 04:00:00,2.3017011586246405,0.20758981872975912,4.404463238366712,NON
2021-04-27 05:00:00,1.956231737493747,0.19267245756493256,4.397706830308949,NON
2021-04-27 06:00:00,2.569570780575586,0.19902781495629762,4.412922254210921,NON
2021-04-27 07:00:00,1.9040300677832591,0.1842536894576865,4.406278473881362,NON
2021-04-27 08:00:00,2.3728506811257204,0.19049581193508258,4.421339169707252,NON
2021-04-27 09:00:00,1.6673336755916799,0.17586454552709307,4.414808892622316,NON
2021-04-27 10:00:00,1.8802217422527103,0.18199576391278072,4.429718422590728,NON
2021-04-27 11:00:00,2.358490775232422,0.16750635701708116,4.423301452507245,NON
2021-04-27 12:00:00,2.542447235307034,0.17352852388827733,4.438062553367461,NON
2021-04-27 13:00:00,2.350386198442398,0.15917965503115106,4.431758131597211,NON
2021-04-27 14:00:00,2.268672654864521,0.16509436143763123,4.446373090001272,NON
2021-04-27 15:00:00,2.199039567168591,0.15088454762069237,4.4401801662074805,NON
2021-04-27 16:00:00,1.8318595728457199,0.15669323868754237,4.454651018488516,NON
2021-04-27 17:00:00,2.0649107542062177,0.14262092073040256,4.44856839463773,NON
2021-04-27 18:00:00,2.1579930127491767,0.14832495734180284,4.462897033214079,NON
2021-04-27 19:00:00,2.634425241264306,0.1343885452318676,4.456923440067751,NON
2021-04-27 20:00:00,2.41566762534883,0.13998923696566656,4.471111670190342,NON
2021-04-27 21:00:00,1.7307261851122004,0.12618713389264924,4.465245807917491,NON
2021-04-27 22:00:00,2.409347699517167,0.1316857566272125,4.479295378007307,NON
2021-04-27 23:00:00,2.172371281006098,0.11801637165864509,4.473535937714548,NON
2021-04-28 00:00:00,2.0885024703836845,0.12341417700824975,4.487448555652302,NON
2021-04-28 01:00:00,2.4918550982495224,0.10987593171299004,4.481794230764458,NON
2021-04-28 02:00:00,2.635770734001301,0.11517415210723847,4.495571572706573,NON
2021-04-28 03:00:00,2.5943347019219973,0.10176548395561502,4.490021064949181,NON
2021-04-28 04:00:00,2.036376345951573,0.10696533539704411,4.503664780166244,NON
2021-04-28 05:00:00,2.196859424030725,0.0936846994452436,4.498216802677113,NON
2021-04-28 06:00:00,2.411415838462357,0.09878738302956602,4.511728516274168,NON
2021-04-28 07:00:00,2.608634277505459,0.08563325269175959,4.506381795188116,NON
